"ZVarPDF_TA","TPDFMean","PVVarPDF_TA","PVPDF_TA","rhoPDF_TA","ZPDF_TA","Points:0","Points:1","Points:2"
1.25930e-08,2.94119e+02,1.06950e-05,4.26604e-04,1.19582e+00,1.46451e-05,9.68388e-02,2.78357e-02,0.00000e+00
9.26552e-17,2.94000e+02,7.78152e-14,1.01986e-09,1.19624e+00,3.51702e-11,6.82551e-02,7.64970e-02,0.00000e+00
6.67370e-03,6.09259e+02,2.50919e+00,1.87813e+00,5.20252e-01,8.94101e-01,1.27705e-02,3.65339e-03,0.00000e+00
1.46920e-02,8.27184e+02,6.41803e+00,3.34776e+00,3.84895e-01,8.31334e-01,7.86940e-02,4.05241e-03,0.00000e+00
1.50062e-02,1.16363e+03,7.73549e+00,5.70868e+00,2.70870e-01,7.27350e-01,2.05288e-01,2.31284e-03,0.00000e+00
6.89622e-04,5.22770e+02,5.89483e-01,9.23223e-01,6.68714e-01,3.15818e-02,4.88423e-01,6.28526e-02,0.00000e+00
1.74059e-10,2.94007e+02,1.47246e-07,1.57583e-05,1.19622e+00,5.41515e-07,7.91880e-02,3.88594e-02,0.00000e+00
1.65850e-02,1.47337e+03,5.94093e+00,5.80469e+00,2.28711e-01,2.32415e-01,1.84159e-01,1.55130e-02,0.00000e+00
2.22673e-04,4.49863e+02,1.86168e-01,6.14581e-01,7.83655e-01,2.12073e-02,6.91582e-02,1.35165e-02,0.00000e+00
1.90347e-05,2.95875e+02,5.54024e-03,1.02262e-02,1.05696e+00,9.99368e-01,2.94923e-02,1.01953e-03,0.00000e+00
1.69863e-05,2.95761e+02,4.76233e-03,9.30133e-03,1.05754e+00,9.99422e-01,2.90616e-02,1.02399e-03,0.00000e+00
3.48438e-08,2.94244e+02,2.95717e-05,8.94727e-04,1.19537e+00,3.07670e-05,4.05686e-02,1.96367e-02,0.00000e+00
4.19108e-03,9.74335e+02,3.34055e+00,2.94197e+00,3.57211e-01,1.01560e-01,3.29394e-01,3.39961e-02,0.00000e+00
4.95230e-04,9.15790e+02,4.23310e-01,2.57259e+00,3.82891e-01,8.79831e-02,7.18244e-01,2.87651e-03,0.00000e+00
9.88154e-04,3.81811e+02,4.43169e-01,5.09059e-01,8.22197e-01,9.73819e-01,9.15167e-02,1.07355e-03,0.00000e+00
5.38822e-08,2.94520e+02,4.56736e-05,1.91977e-03,1.19437e+00,6.59408e-05,4.36738e-02,1.82713e-02,0.00000e+00
2.14013e-03,6.87382e+02,1.66662e+00,1.64792e+00,5.07702e-01,5.74341e-02,2.21081e-01,2.83491e-02,0.00000e+00
5.60519e-45,2.94000e+02,9.80909e-45,5.90243e-15,1.19624e+00,5.36596e-24,5.50955e-02,1.26730e-01,0.00000e+00
